,Names,Organisation,Projects
702,Pawan Wadhwani,RoboComp,Deep Reinforcement Learning for precise robot grasping and object manipulation
703,Karine Pistili,Liquid Galaxy project,Reforestation Assistant & Simulator
704,Rijuta Singh,Oppia Foundation,Integrating the Oppia blog with Oppia.org
705,isolte,xrdesktop,glTF virtual environment loading
706,Parth Kanakiya,OpenMRS,OpenMRS GSOC-21 Proposal
707,Divyam Ahuja,ScummVM,Finishing implementation of unfinished Game Engines
708,Manuel Drehwald,The LLVM Compiler Infrastructure,Integrating Enzyme into Rust
709,Anurag Gupta,Global Alliance for Genomics and Health,Implement reusable GA4GH UI clients
710,Saptarshi Majumder,Ceph,RGW:S3 SDK Compatibility
711,Ali Eren Yogurtcu,CCExtractor Development,FastFingers Application Development
712,Sarthak Garg-1,Zulip,Improve User Experience in Zulip Terminal
713,Lara Lazier,QEMU,Complete AMD virtualization emulation
714,Harsh Prakash Gupta,CERN-HSF,Add support for in-browser interactive averaging of physics results
715,Ish Bosamiya,Blender Foundation,Continued Development on Adaptive Cloth Simulator for Blender
716,Medhavi Srivastava,OpenMRS,Support for Extended Operations in FHIR
717,João Vitor F. Cavalcante,The R Project for Statistical Computing,R Community Explorer - Exploration of the R community on Twitter
718,Hiebl,International Catrobat Association,Unified Catrobat Language Brick Syntax
719,Oskar Walcher,International Catrobat Association,Search functionality for bricks in Pocket Code
720,Nicolas,Shaka Player,A step forward on Shaka Player’s User Interface
721,Ameya Deshpande,The ns-3 Network Simulator Project,IPv6 Nix-Vector Routing
722,Arjun Taneja,MuseScore,Improving Accessibility for the Visually Impaired
723,ArunagirinadanSudharshan,Ceph,Implementing integration tests using Gherkin language
724,Swadesh Jana,Red Hen Lab,Create a Red Hen OpenDataset for gestures with performance baselines
725,kinshuk,INCF,"Decentralized storage of versioned BIDS datasets with IPFS, datalad and Ceramic"
726,Mohit,JabRef e.V.,Microsoft Word Integration
727,Rohit Goswami,Fortran-lang,LFortran and Computational Chemistry
728,Dilith Jayakody,Blender Foundation,Curve Improvements
729,Sudhanshu Kumar P,Python Software Foundation,DFFML : Add data cleanup dataflow operations and sklearn accuracy scorers
730,Nitin Mishra,Free and Open Source Silicon Foundation,TensorCore Extension for Deep Learning
731,Yash Agrawal,Wikimedia Foundation,Add zoom and pan to the Wikisource Pagelist Widget
732,Kaushlendra Pratap Singh,FOSSology,Copyright False Positive Detection Using ML
733,Siger,LabLua,Lua scripted watchpoints in LLDB
734,Danish Jamal,The Apache Software Foundation,Fineract Client
735,Hanxi Guo,OpenCV,"Proposal for ""Accelerate OpenCV.js DNN via WebNN"""
736,Manav Nair,apertus° Association,eMMC Plugin Firmware
737,Kai A. Hiller,GNOME Foundation,Fractal NEXT
738,Mohit Balwani,SymPy,Refactor the ODE module and make it fast
739,Sai Bhushan,Processing Foundation,Improve Test Coverage in p5.Sound library
740,Kamil Albrycht,Global Alliance for Genomics and Health,React diagram component library for creating pedigree drawings tools
741,Aditi-Singh,freifunk,OpenWrt Device Page
742,Anastasia Neklepaeva,Tarantool,Various SQL VM improvements: threaded interpretation and instruction merging
743,sp35,The Honeynet Project,IntelOwl Connectors Manager and Integrations
744,Crane yang,ScummVM,Macromedia Director
745,Jingchen YE,mypy,Speeding up string operations
746,parth-07,CERN-HSF,Add support for functor objects in clad
747,Peddi Sai Varshith,caMicroscope,Integrate an optical microscope with a camera and motorized stage - Collaboration with FDA
748,Xin Yue Chen,Internet Archive,Turn All References Blue
749,lusceu,The Honeynet Project,Implementing DDiMon for Windows and Linux using Bareflank
750,jasondk,MetaBrainz Foundation Inc,Pin Tracks & Review Tracks Through CritiqueBrainz
751,Roberto Rosmaninho,Python Software Foundation,LLVM Back-end for the Tensor Algebra Compiler (TACO)
752,Pokemod97,TianoCore,Terminal Driver Improvements
753,michaeokoko,MariaDB Foundation,Use JSON as on-disk format for Histograms
754,Meet Bhatnagar,The R Project for Statistical Computing,R Conference Events Explorer
755,Anjani Kumar,KDE Community,Port digiKam to Qt6 on Linux
756,Magali Lemes,The Linux Foundation,Improving statistics from kw
757,earthshakira,Polypheny,Query the Blockchain
758,adi10hero,Continuous Delivery Foundation,Semantic Versioning Plugin for Jenkins
759,Aditya-Dubey,Oppia Foundation,Move custom JS\TS lint checks to eslint
760,Anand Kumar,openastronomy,Automatic Lineshape Engine
761,suraj kulriya,The Linux Foundation,Make All Filter Functions Work Well Even Without PPD Files
762,Ida Delphine,RTEMS Project,Code Formatting and Style Check for RTEMS SuperCore (score)
763,Alexandros Manochis,GeomScale,High dimensional geometric computations with least matrix inequalities
764,Zhipeng Zhao,DBpedia,Social Knowledge Graph: Employing SNA measures to Knowledge Graph
765,Riken Shah,Zulip,Removing Unused CSS & Working On Developer Tooling Area
766,Pritam Saha,National Resource for Network Biology (NRNB),Develop a Cytoscape App for the Casual Path Algorithm
767,Yash Patel,The Terasology Foundation,Migrate Web Presence to new Module Site
768,Matvey Luboshnikov,Synfig,Replacement of deprecated GTK classes
769,Michal Klein,The LLVM Compiler Infrastructure,Using machine learning to seed LLVM’s attributor pass
770,Gaurav Genani,Cilium,Expose Cilium Config to CLI Tool
771,Pratik Baid,CCExtractor Development,Flood Mobile App
772,Hrithik Kumar,Haiku,Coding style checker bot for Gerrit
773,Kacper Kujawski,RoboComp,Webots integration
774,Harsh Mishra,AOSSIE,Improving User Experience Of Frontend and Enabling User Personalisation
775,Rakshita Varadarajan,CERN-HSF,New protocols for exascale data management with Rucio
776,Srikar Reddy Jilugu,TensorFlow,Converting ML Matlab Examples to Python using JAX
777,Svea Marie Meyer,INCF,Project 9.5: Classification using EEG
778,Priyanshu Jain,Kodi,Finish the new web interface
779,ThenoobMario,gprMax,Implementing GPU Accelerated Sub-gridding
780,Tejasvi Gupta,The R Project for Statistical Computing,Interactive Graphics for ChemoSpec
781,Anshu Khare,LibreOffice,Sidebar Task
782,Anshuman Singh,DeepPavlov,Refactor Multi-Task BERT
783,Amish Garg,TensorFlow,TensorFlow Lite Flutter Support Suite Enhancements
784,Diptanshu Mittal,INCF,A Django Platform for comparing scientific methods for analyzing neural time series analysis methods
785,Xinyu Zhou,Casbin,Refactor Casbin.js and other optimizations on pycasbin and node-casbin
786,mikit,SPDX,Faster and Accurate License Matcher
787,Harsh Bardhan Mishra,MetaCall,Development of Jupyter Kernel for MetaCall Core
788,Hongli Zhao,SageMath,SageMath: Efficient Tensor Calculus Backend and Numerical Tensor Arithmetics via Tensor-Train
789,Ahmat Hamdan,CERN-HSF,Inference Code Generation for Recurrent Neural Networks
790,Adrij Shikhar,SCoRe Lab,SenZ Project Proposal
791,Hyeongyu Kim,The LLVM Compiler Infrastructure,Fix miscompilation issues in LLVM IR using the ‘Freeze’ instruction
792,Siddharth Saha,JdeRobot - Universidad Rey Juan Carlos,ROS2-RADI and Single Robot Amazon warehouse exercise in web-based template
793,Anais Gonzalez,Processing Foundation,Improving the p5.xr Library Through Artistic Examples
794,Diego Porras,OWASP Foundation,SKF support for interactive vulnerability fixing.
795,Yifan Wang,TensorFlow,Project Proposals for TF Core and Model Garden
796,Konstantin Sidorov,The LLVM Compiler Infrastructure,Improving OpenMP code generation with prediction of runtime parameters
797,Tirth Patel,Python Software Foundation,Integrate library UNU.RAN into scipy.stats
798,Varun Jain,The Apache Software Foundation,Functional Enahancements To Fineract CN Mobile Application
799,Yash Prakash,CHAOSS Project,Automate Metrics Release and Process Improvement
800,Diego Urgell,The R Project for Statistical Computing,Binary Segmentation Package
801,Shashwat Dalakoti,JdeRobot - Universidad Rey Juan Carlos,Exercise using Deep Learning for Visual Detection
802,Anaswara T Rajan,CERN-HSF,SWAN support in oCIS
803,Jayesh Desai,DBpedia,Modular DBpedia Chatbot
804,Chetan Karwa,Fortran-lang,Linked List in stdlib of Fortran-lang
805,Rohan Mallick,caMicroscope,Smart Pens
806,Tarindu Jayatilaka,The LLVM Compiler Infrastructure,Machine Learning Guided Ordering of Compiler Optimization Passes
807,Ashutosh Kumar-1,DBpedia,DBpedia Live Neural Question Answering Chatbot - GSoC2021
808,Fawzi E. Abdulfattah,Python Software Foundation,Enhancing the EOS-icons [Backend]
809,Anushka Chakraborty,Google FHIR SDK,Feature Implemetation and Ui Development of Android FHIR
810,Suraj Choubey,GeomScale,GeomScale: Monte Carlo Integration
811,Martin Gius,Haskell.org,TidalCycles API and editor plugin
812,Manjot Sidhu,CircuitVerse.org,Interactive Book Integration for Mobile App
813,Aditya R Rudra,INCF,Improving Test Coverage and Implementing CI/CD in BrainBox
814,Shubhaditya Burela,MBDyn,Implementing an Unsteady Vortex-Lattice aerodynamic element
815,Sourabha G,Sugar Labs,Improve and maintain 15 Sugar activities
816,CaitlinHaedrich,OSGeo - Open Source Geospatial Foundation,Improved Integration of GRASS GIS and Jupyter Notebooks
817,Aitik Gupta,NumFOCUS,Matplotlib: Revisiting Text/Font Handling
818,Angelina Panagopoulou,The R Project for Statistical Computing,matrixStats: Consistent Support for Names Attributes
819,Aakash Hemadri,The Linux Foundation,Analysis and fixing of race condition warnings in the Linux kernel
820,Tim Reichelt,The Julia Language,GPU Support for AdvancedHMC.jl
821,George Dialektakis,CERN-HSF,Deep autoencoders for ATLAS data compression
822,Ilya Zarubin,The R Project for Statistical Computing,RcppSMC - support for modern Monte Carlo methods
823,Marc Prat Masó,Open Chemistry,Tools for visualization and efficient editing
824,Amey Varhade,Machine Learning for Science (ML4SCI) Umbrella Organization,Machine Learning for Turbulent Fluid Dynamics
825,pingport80,Metasploit,Improving Post-Exploitation API
826,shashwat,LibreHealth,Create web components for FHIR Resources
827,Nikolaos Kokkinis,GFOSS - Open Technology Alliance,DeepbotsZero
828,Divyam Singal,Boost C++ Libraries,Boost.Real: Modifying internal representation of operation and improving math functions
829,Saurav Shrivastav,PostgreSQL,Improve pgeu-system for Conference Management
830,Mugilraj D,The Linux Foundation,IIO Driver: AD4695 ADC
831,Tushar Guha Neogi,Bench-Routes,GSOC Proposal 2021 Bench-Routes
832,Oliver Madine,Haskell.org,Haskell Language Server: Symbol Renaming
833,Sugam Srivastava,The NetBSD Foundation,ZFS root support(bootloader and mount_root)
834,aley,TensorFlow,Tensorflow Proposal
835,Dimitrios Iatrakis,Plan 9 Foundation,Add support for OAuth2 Login (i.e. OpenID Connect) authentication to factotum
836,Antonin Jolivat,OpenStreetMap,QA Reports Extraction Tool
837,Punit Lodha,CCExtractor Development,Rewrite 708 decoder in Rust
838,Shreyaa Sharma,Ceph,Reporting Ceph issues from the Ceph-Dashboard
839,Pranjal Singh,The Honeynet Project,Fuzzing Xen with Xen
840,Sang Truong,The R Project for Statistical Computing,Refactoring of hyperSpec R Package
841,Chinmay Vibhute,"Department of Biomedical Informatics (BMI), Emory University School of Medicine",A Testing Framework for Niffler DICOM frameworks for Continuous Integration
842,Vladyslav Hnatiuk,Matrix.org,PyQuotient
843,Lucas Wang,KDE Community,Framework update and rewrite of the KDE Connect iOS Application
844,Arib Alam,TARDIS SN,Tardis Setups Framework
845,Vishnu Madhav,GNU Compiler Collection (GCC),Make Cp-demangler non recursive
846,Pranshu Kharkwal,The Linux Foundation,Create a single universal CUPS filter to replace the chain of individual filters
847,Kaustubh Chaudhari,NumFOCUS,New Version Refactoring
848,Rohit Sutradhar,OpenCV,Tutorial for Universal Intrinsics and parallel_for_ for efficient cross-platform algorithm implementation
849,Khushal Uttam,International Catrobat Association,Kotlin Refactoring and MVVM Implementation
850,Quanwen Chen,GNU Mailman Project,List Configuration Tool
851,Shayan Majumder,LibreCube Initiative,CCSDS File Delivery Protocol in MicroPython
852,pruhnuhv,RTEMS Project,Improving the Raspberry Pi BSP
853,Lahiru Udayanga De Silva,JBoss Community,3scale - Envoy proxy authorization cache
854,Rafael Badell,AerospaceResearch.net,Implementation of sensor and actuator models in Cubesat Simulator
855,Valentin Boettcher,KDE Community,KStars DSO Overhaul
856,Naveen Sai,SymPy,Rational Solutions of Riccati ODEs
857,Nolan Windham,Internet Archive,Open Book Genome Project
858,Shiyu Liu,Android Graphics Tools Team,Diversity transformation class space and implement Coverage-guided mutation-based fuzzing for WebGPU
859,leachim,The Julia Language,Improving Turing’s documentation and tutorials
860,Niteesh Babu G S,QEMU,"Interactive, asynchronous QEMU Machine Protocol (QMP) text user interface (TUI)"
861,Egor Zverev,MapAction,Extend Data Pipelines to cover more data products
862,Rahul Saxena,The R Project for Statistical Computing,GSoC 2021 Proposal Productionizing bddashboard
863,Flynn,Debian,A Privacy-Respecting Email Service for Personal Servers
864,Ishan Vatsaraj,INCF,TVB for Jupyter and Collaboratory
865,Daniel Ko,Continuous Delivery Foundation,try.spinnaker.io
866,mmalenic,Global Alliance for Genomics and Health,Pure Rust Htsget Implementation
867,Phuoc-Khanh LE,KDE Community,digiKam Image Quality Sorter algorithms improvement
868,Sylwia Majchrowska,gprMax,Modelling complex materials electromagnetic properties in gprMax software
869,Aryan Verma,"Department of Biomedical Informatics (BMI), Emory University School of Medicine",CovCT: Development of an AI-based Android Application for distinguishing COVID-19 and Pneumonia using Computed Tomography Images and generate reports for analysis
870,Paula Marin,Liquid Galaxy project,SatNOGS Network data visualizer for Liquid Galaxy
871,Anuradha Pandey,Apertium,"Adopt an unreleased language pair, Hindi-Bhojpuri"
872,Prakhar Saxena,SymPy,Continuum Mechanics: Creating a Rich Beam Solver and Extending Continuum Mechanics Module
873,Esandha Vithanage,SCoRe Lab,S-ChainX: Product Hunter
874,Suraj Kumar Mahto,KDE Community,KMyMoney : Integration of the new functionalities from the Alkimia library
875,Aman Gupta,International Catrobat Association,Awesome Demo Game Project : King Of Batona
876,Aleksei Dorkin,FrameNet Brasil (UFJF),Automatic Qualia Extraction and Annotation Tools
877,Cédric Dollet,NumFOCUS,Colour-Science for python
878,Akash Saini,Global Alliance for Genomics and Health,Brokering Continuous Delivery through the ELIXIR Cloud service registry
879,Priyanshu_Agarwal,NumFOCUS,PyBaMM - Printing formatted equations (Priyanshu Agarwal)
880,Dmitry Volodin,Orcasound,25 Dmitry Volodin Github Action Workflows for Scheduled Algorithm Deployment
881,jrybak,Machine Learning for Science (ML4SCI) Umbrella Organization,Dimensionality Reduction for Studying Diffuse Circumgalactic Medium
882,Vedant Nandoskar,caMicroscope,Real Time Collaborative Pathology
883,Raghav Bhatia,Postman,Newman request
884,Priyank Patel,Zulip,TypeScript Migration
885,Shiven Tripathi,INCF,Analyzing stimulus prediction capabilities of neurons: predictive information estimation methods
886,Jenny Yu,TARDIS SN,Custom Abundance Widget
887,Yash Pandey,Casbin,"Benchmarking, Python bindings and Migrating to CTest for Casbin-CPP"
888,Linda Kladivova,OSGeo - Open Source Geospatial Foundation,First steps towards a new GRASS GIS Single-Window GUI
889,Namit Chandwani,JBoss Community,Develop a Golang-based framework to enhance Knative’s functionalities
890,giulio,Qubes OS,Simplified external port forwarding and automatic NAT traversal
891,Kannav Krishan Mehta,Boost C++ Libraries,Finalizing and improving the subtensor type
892,Simon Thor,CERN-HSF,Enhancing the Plotting Functionality in MCnet/Rivet
893,Vladislav Kakurin,MariaDB Foundation,Non-blocking multi-thread IO_CACHE
894,Adam R. Jensen,NumFOCUS,Making pvlib python a one-stop source for solar resource data
895,Artemis Georgopoulou,GFOSS - Open Technology Alliance,sch-webapps: aggregator for web-based educational material
896,Zhengkun Chen,GNSS-SDR,Google summer of code 2021 Application
897,Sahan Dissanayaka,SCoRe Lab,ImageLab - extend the functionality
898,Ji Ho Kang,The Apache Software Foundation,Nemo Optimization by WAN Hierarchical Aggregation and Fidelity Control
899,acmcmc,Django Software Foundation,New database search backend
900,Sahil Grewal,Wikimedia Foundation,Upgrade WebdriverIO to the latest version 7 for all repositories
901,Aakash Kaushik,mlpack,Ready to use Models in mlpack
902,Paritosh Singh,Project WikiLoop,Improving Google Search Result On Buddhist Entities.
903,Saurabh Gupta-1,Sugar Labs,Sugarizer Story Activity
904,Artur Tomczak,BRL-CAD,Add IDS validation with BCF output to IfcOpenShell
905,Garv Tambi,RoboComp,Computer vision for detecting elements of a vehicle’s environment with RoboComp
906,Prashant Dodiya,coala,Microfarm For Everybody
907,alexrockhill,Python Software Foundation,mne-python intracranial electrode localization toolbox
908,Alejandra Cossío Ch.,Pharo Consortium,Refining Code Critics
909,thhagelmayer,SageMath,dd support for error terms with explicit constants to AsymptoticRing
910,Abdallah Ahmed,Joplin,BibTeX Plugin Project
911,Hemansh Khaneja,caMicroscope,Cross-Slide Coordinated Viewing
912,Archana Warrier,The Julia Language,GSoC Proposal - Causal and counterfactual methods for fairness in machine learning
913,Balaji G,Pharo Consortium,DataFrame
914,Gabriela Bittencourt,Purr Data,Improving workflow with autocomplete feature
915,Theo Way,Godot Engine,"Auto-Arrangement of Nodes in GraphEdit, VisualScript and VisualShaders"
916,Bhavna Kosta,The Linux Foundation,Firmware and other file handling in PAPPL
917,Miranda Ren,Digital Impact Alliance (DIAL) at UN Foundation,Enhance Project Repository and WebApp of Catalog of Digital Solutions
918,Yusuf Karadag,The Apache Software Foundation,Application Proposal for Apache Clerezza
919,Wenzhang Yang,GNU Compiler Collection (GCC),Static analysis for unreachable functions
920,Karan Kharecha,DBpedia,User Centric Knowledge Engineering and Data Visualization
921,Guanglin Huang,The R Project for Statistical Computing,Factor analysis based on higher-order moments
922,Jiyeon Lee,MediaPipe,Inference Latency Estimator with Ensemble of Regression Models
923,Akanksha Garg,AboutCode,Detect Unknown Licenses and Indirect License references in ScanCode
924,Hardik Katehara,Oppia Foundation,Make backend code typed
925,Rishabh kohale,Open Genome Informatics,Interactive viewer for systems-biology variant interpretation (Server-side)
926,Meenal Jhajharia,NumFOCUS,Extending Time-Series Models
927,Srihari Humbarwadi,TensorFlow,Implementing State of the Art Object Detection Models for Tensorflow Model Garden
928,EasonC13,Accord Project,Automatic Identification And Classification of Contract Data Types with NLP
929,Sarthak Bhardwaj-1,FreeType,Re: Develop a test framework for checking FreeType's rendering output
930,Ruturaj Mohite,CircuitVerse.org,Refactoring Testbench and Automated Testing
931,Martynas Jočys,The R Project for Statistical Computing,Evolving bdchecks: a biodiversity data quality checks framework
932,Kumar Shivendu,Software Heritage,Improve the Archive Search
933,Akshansh Bhatt,SymPy,Improving and Expanding Functionalities in Control Module
934,Juan Elias Rodriguez,Python Software Foundation,Proposal by Juan Elias for OpenLex PyAr
935,Zeping Bai,The Apache Software Foundation,Enhanced authentication for APISIX Dashboard
936,Sanjay Singh Rajpoot,Processing Foundation,Hindi Translation for P5.js website
937,Pavindu Lakshan,The Apache Software Foundation,Apache OODT - Improving OPSUI React.js UI with Advanced Functionalities
938,Sai karthikeya,52°North GmbH,Bug fixing & Improving User Interface in enviroCar Android
939,Siddhartha Jejurkar,Blender Foundation,Blender - UV editor improvements
940,Larry Dong,NumFOCUS,pymc3.dp: Bayesian Stati-sticks for Summer 2021
941,Fikri Milano,Google FHIR SDK,Android FHIR Client as The Standard Implementation of Android FHIR SDK
942,Nathan Wood,Open Chemistry,Improving GOpt Visualization be Implementing Avogadro as an Alternative to Visualizing Molecular  Dynamics
943,CodeChamp_SS,International Catrobat Association,Pocket Code for Android: Refactoring and Rewriting Production Code and Tests to Kotlin
944,Sanket Shevkar,Accord Project,Signing Template and Signing Contracts
945,Niki Ito,Processing Foundation,Activism Through Storytelling with Code
946,BHAVESH SHARMA,LibreHealth,Develop an Android mobile application for newborn clinical decision support
947,Utsav Akhaury,gprMax,Automatic Realization of AI-Based Electromagnetic Models
948,Balaje,NumFOCUS,A fast finite element interpolator in Gridap.jl
949,Bartłomiej Rasztabiga,OpenMRS,The REST of Administration
950,Jatin Sharma,TensorFlow,Community datasets in TFDS
951,Ainhoa Maestro,Liquid Galaxy project,VISIT THE WORLD HOME EDITION
952,Aryaman Gupta,Oppia Foundation,Improve Exploration save flow: Syncing edits in the background
953,Micah Kendall,LabLua,A Lua library for Freechains-P2P
954,July541,Haskell.org,Implement missing refactoring in Haskell Language Server
955,Kumar Saurabh Raj,Sugar Labs,"MusicBlocks v4: Friendly, Intuitive, Fast"
956,Shridhar Goel,AnkiDroid,Development of AnkiDroid project
957,Donald Lee,FRRouting,Lua hook points
958,Shriyanshu Kukreti,International Catrobat Association,Awesome Demo Game Project - Sisters of the Faldroid
959,GUIFO FODJO A Yvan,Pharo Consortium,Matrix state of the art
960,Metehan Arslan,VideoLAN,Advanced Audio Filters
961,Akshit,The ns-3 Network Simulator Project,Add logging support to Simulation Execution Manager (SEM)
962,Daniil Ignatiev,Apertium,A morphological analyzer for Bagvalal
963,Hồng Quân Trần,The Apache Software Foundation,Apache James - Implement Thread support for JMAP
964,Roshan Swain,mlpack,Example Zoo
965,Hang Yan,Point Cloud Library,Enable CUDA builds on CI
966,Manorit Chawdhry,The Honeynet Project,Implementing Linux support in Drakvuf-Sandbox
967,Daniel Swanson,Apertium,Unipertium
968,moki1202,PEcAn Project,PEcAn in CRAN
969,btut,JabRef e.V.,Improve pdf support in JabRef
970,Katie Liu,Processing Foundation,Adding Alt Text
971,Pranav Ballaney,National Resource for Network Biology (NRNB),SBML Simulator in Rust
972,Geraldine Galindo,Pharo Consortium,Code Completion in Pharo
973,Anubhab Das,CERN-HSF,"Logging, Unit Test Infrastructure and Precooked Sources for PRMON"
974,Shyam,SCoRe Lab,Service Market
975,Adam Leung,VideoLAN,VLC Qt interface redesign
976,Fahad Israr,JBoss Community,Project Starfix : Open anything anywhere in any IDE/editor
977,Cyrine Gamoudi,GitLab,Port SAST and Secret Detection rails platform code to GitLab CE project
978,Apoorva Agarwal-1,Cuneiform Digital Library Initiative (CDLI),Journals Open Review Workflow and Integration
979,Manuel Genovés,GNOME Foundation,Libadwaita animation API
980,Ming Liang Ang,TensorFlow,Convert Matlab ML examples to Python / JAX
981,orion cohen,MDAnalysis,A Solvation Module for MDAnalysis
982,Yurii Halychanskyi,Machine Learning for Science (ML4SCI) Umbrella Organization,Direct Objective Function for Anomaly Detection
983,Rohitesh Jain,CASTOR,Add/Improve tests in Spoon
984,FromG,International Catrobat Association,Pocket Paint for Android: Additional brush options
985,Joshua Nsereko,OpenMRS,Patch Security Vulnerabilities Identified by NCSU
986,Shantanu Kaushik,Processing Foundation,Adding to p5.js Friendly Error System
987,Sachin Jindal,KDE Community,Reference Image Improvement
988,Pau Riera i Portillo,NumFOCUS,[Gridap] Visualizing PDE approximations in Julia with Gridap.jl and Makie.jl
989,Vinayak Sharma,Python Software Foundation,EOS Icons react library
990,Masood Kamandy,Processing Foundation,Add Examples and Fix Bugs in Swift Processing
991,Joykirat Singh,Sugar Labs,MusicBlocks Menus and Palettes
992,Kira Patton,Debian,Kotlin & Gradle work for Android Tools project
993,Javed Ali,National Resource for Network Biology (NRNB),Adding analysis report and Direct import from GEO databases to ABioTrans Plus
994,Nishant Mittal,Joplin,Template Plugin
995,Samarpan Dutta,Casbin,"Casbin-Server, Rocket-Authz, JSON-Adapter"
996,Thanoshan M.V.,The Apache Software Foundation,Proofread Oracle DML SQL Definitions for the ShardingSphere Parser
997,Anirban166,The R Project for Statistical Computing,Improvements to the directlabels package
998,Pulkit Midha,MediaPipe,MediaPipe Holistic in Unity
999,Rohit Topi,CERN-HSF,CernVM-FS preload capability
1000,Ayush Prasad,PEcAn Project,Adding ICOS and GEDI data streams to PEcAn
1001,Shivam Agarwal,Chromium,WebStatus Developer Tooling
1002,Callum Brown,Matrix.org,Token Authenticated Registration
1003,pilgrim2308,coala,Gitmate for coala
1004,ranjit shah,Digital Impact Alliance (DIAL) at UN Foundation,Frontend reimplementation using react
1005,anuejn,apertus° Association,GUI for AXIOM Recorder
1006,Veronia Iskandar,Free and Open Source Silicon Foundation,Bring up CV32E40P AI accelerator on FPGA
1007,Utkarsh Shendge,The Palisadoes Foundation,Improved UI design and Multilingual Support
1008,Valerius_B,freifunk,Freifunk Radio Ressource Management with IEEE 802.11v
1009,Özgür Kara,"Department of Biomedical Informatics (BMI), Emory University School of Medicine",Graphical User Interface for OpenAI Gym
1010,Sandeep Saurav,OSGeo - Open Source Geospatial Foundation,Integrating 3D scene builder as WPS services within MapMint administration User Interface
1011,Azamat Akimniyazov,Apertium,Develop a prototype MT system for a strategic language pair uzb->kaa
1012,Jianhui Lu,PostgreSQL,Add monitoring of pg_stat_statements to pg_systat
1013,Ankit kumar,OpenMRS,SMART-on-FHIR
1014,fibersel,The Apache Software Foundation,Add ttl for cassandra snapshots
1015,Rushikesh Tote,Casbin,Lua-Casbin
1016,Aaron Saw Min Sern,OSGeo - Open Source Geospatial Foundation,Parallelization of existing modules for GRASS GIS
1017,Jaikishan Brijwani,Sugar Labs,Sugarizer Security and Availability
1018,AYAN BISWAS,CircuitVerse.org,Integration of CircuitVerse with LMS Platforms
1019,Soumya,Blender Foundation,Display simulation data for rigid bodies and cloth
1020,Pratyush Das,The LLVM Compiler Infrastructure,Integrate custom derivatives of Numerical Computing routines like BLAS and Eigen into Enzyme
1021,Harsh Khilawala,INCF,Measure the Quality of CerebUnit Validation Tests
1022,Piyumal Demotte,INCF,Input/Out Workflows for Active Segmentation Platform
1023,Santhosh_A,KDE Community,Collective Operations over multiple layers/groups
1024,Rishabh Garg,mlpack,Improve Tree Ensemble Support
1025,Daniyal Abbasi,Django Software Foundation,Adding a Redis cache backend to Core
1026,Ayush Tiwari,AOSSIE,Agora-Web
1027,Riccardo Mori,The LLVM Compiler Infrastructure,Use official isl C++ bindings for polly
1028,Julius Hohnerlein,AFLplusplus,Hydra - Hybrid Fuzzing with LibAFL
1029,Mark Nawar,The R Project for Statistical Computing,re2r back on CRAN
1030,Saahil,Python Software Foundation,DFFML: Support Archive Storage for  Models
1031,Ashish-Kumar,OSGeo - Open Source Geospatial Foundation,VRP functionality with VROOM on the database for pgRouting
1032,Suryansh Singh Tomar,AOSSIE,Proposal for Monumento
1033,Christos Margiolis,FreeBSD Project,libmixer(3)
1034,Fahad Nayyar,Java PathFinder,Beneficial region-instantiation for SPF
1035,Sourav singh,OSGeo - Open Source Geospatial Foundation,AR Draw experience in MapMint4me
1036,Aleksandr Gushchin,Xiph.Org Foundation,Improve fast scene detection modes proposal
1037,Lucas Stankus,The Linux Foundation,Proposal for GSoC 2021 IIO Driver: AD7294-2
1038,YADNIK BENDALE,BeagleBoard.org Foundation,Micropython for BeagleConnect Freedom
1039,Srinivas Yadav,STE||AR Group,Add vectorization to par_unseq implementations of Parallel Algorithms
1040,daksh,Cuneiform Digital Library Initiative (CDLI),Digital Library Management
1041,Nazerke Turtayeva,Free and Open Source Silicon Foundation,Multi-level TLB support for Ariane
1042,Akhil,PEcAn Project,Testing Dashboard
1043,Kaushik Sivashankar,OWASP Foundation,Dark Web Exploration for Cyber Threat Analysis
1044,Barun,Public Lab,Geographic Features Refinement
1045,Vedant Paranjape,libcamera,Multistream support in GStreamer element
1046,Hasan Faraz Khan,Hydra Ecosystem,General Improvements in hydrus
1047,Aditya Mulgundkar,OpenCV,Create nuget package for OpenCV and OpenCV contrib
1048,Abhijeet Bodas,Zulip,"Work on making Zulip better for large, high traffic organizations."
1049,Oscar Ekholm,GNU Radio,View-Only Mode in GRC
1050,Lut,Elm Tooling,Improve pure Elm markdown parser
1051,Yash-10,Libre Space Foundation,Expand Events Detection
1052,zohaib,OpenStreetMap,element history widget
1053,Tasneem Koushar,Chromium,Automating Puppeteer’s Documentation - Tasneem Koushar
1054,Harshit Sharma,Polypheny,Quality Check and Assurance
1055,Gaelan Steele,QEMU,vhost-user-scsi device in Rust
1056,Kumar Kartikeya Dwivedi,CRIU,Add io_uring support
1057,Mostafa Ashraf Mohamed,Android Graphics Tools Team,Improving support for compute shaders in spirv-fuzz
1058,Shravan Chaudhari,Machine Learning for Science (ML4SCI) Umbrella Organization,Graph Neural Networks for End-to-End Particle Identification with the CMS Experiment
1059,Pavan Joshi,CircuitVerse.org,Internationalization of CircuitVerse Platforms
