,Names,Organisation,Projects
164,Alessandro Cheli,The Julia Language,Applied equality saturation with Metatheory.jl
165,infaz,The Apache Software Foundation,Support JOOQ API within gora-sql module
166,Shubham Awasthi,"Department of Biomedical Informatics (BMI), Emory University School of Medicine",A Frontend For Loopsim Framework To Model Workflows With Closed Loops
167,Himanshi Kalra,Blender Foundation,Regression Testing of Geometry Nodes
168,Victor Hugo Cano Gil,Open Chemistry,Extended Interoperability of ChemTools and Quantum Chemistry Software
169,TinTin,OWASP Foundation,Revamping the Juice Shop Score Board
170,Dhanmoni Nath,Open Bioinformatics Foundation,Enabling and prototyping JavaScript visualizations in the Qt-based viewer TOPPView (OpenMS).
171,Manav Agarwal,Django Software Foundation,Adapt schema editors to operate from model states instead of fake rendered models
172,Octávio H. Müller Barrio,Liquid Galaxy project,Liquid Galaxy Image Satellite Visualizer
173,Parth Pant,Inkscape,On-Canvas Alignment Guides
174,Vipul Chhabra,Global Alliance for Genomics and Health,Brokering Continuous Delivery through the ELIXIR Cloud service registry
175,Noah Liguori-Bills,National Resource for Network Biology (NRNB),Expand ModelBricks.org and VCell API
176,Swapnal Shahil,SCoRe Lab,SCoRe Lab Open MF Proposal
177,Jenniline Ebai,CiviCRM LLC,Activity Cull
178,Baidyanath Kundu,CERN-HSF,Utilize second order derivatives from Clad in ROOT
179,D R Siddhartha,Python Software Foundation,Scrapy: Feed Enhancements
180,Pratyush Tiwari,Pitivi,Cut Mode
181,zwerg4,International Catrobat Association,Catrobat iOS Team proposal for Ticket: Support for Catrobat Language version 0.994 - 0.99992
182,Sophia He,Machine Learning for Science (ML4SCI) Umbrella Organization,Uncovering the Enigma of Type-Ia Supernovae: Thermonuclear Supernova Classification via their Nuclear Signatures
183,Piotrek Brzeziński,Pitivi,"""Focus on the music"" - music-oriented editing for everyone"
184,Anubhav Singh-1,VideoLAN,VLC iOS UI update
185,Manas Gupta,The LLVM Compiler Infrastructure,Clang Static Analyzer: Constraint Solver Improvements
186,Rasswanth S,OpenMined,Implement FALCON: Honest-Majority Maliciously Secure Framework for Private Deep Learning in SyMPC
187,Sumitra Saksham,The Palisadoes Foundation,Multilingual Support in the App
188,Mrinalkanti Roy,Pharo Consortium,3D CAD scripting using Smalltalk
189,Vivek Agrawal,Learning Equality,Revolutionizing the Tasks API
190,Pranav Mahajan,INCF,A Python toolbox for computing high-order information in neuroimaging
191,M. Vignesh Venkataraman,Open Chemistry,JaxModel: A high level API for building purely functional models suitable for Molecular Predictions & Simulations
192,Samarjeet Singh,Navidrome,Infinite Scroll
193,Purvansh Singh,Hydra Ecosystem,Banking Service with Open Risk and Hydra Ecosystem
194,Aman  Verma,CERN-HSF,Implementation of Physical Shape Function
195,jaxmatrix,Open Chemistry,3Dmol UI Design and Improved Controls
196,Yash,SCoRe Lab,Webiu
197,S.M Mukarram Nainar,FFmpeg,TX AArch64 Doubles SIMD Assembly
198,Haris Zafeiropoulos,GeomScale,From DNA sequences to metabolic interactions: building a pipeline to extract key metabolic processes
199,Tanmay Singal,vitrivr,Implement IIIF read in Cineast
200,Rishab Mallick,Genome Assembly and Annotation,Extract important information from scientific papers
201,Nabeel Merchant,Learning Equality,IMS QTI 2.2 DEVELOPMENT PROPOSAL
202,Tim Ramlot,CNCF,'kubectl cert-manager install': A CLI plugin to make it easy to install and verify the installation of cert-manager
203,Jake Watson,OpenCV,Create robust visual fiducial tags
204,strukovas,Machine Learning for Science (ML4SCI) Umbrella Organization,Machine Learning Model for the Planetary Albedo
205,Ganesh Pawar,Zulip,"Improve tooling, integrations, and testing infrastructure of Zulip"
206,Omkar  Bhilare,BeagleBoard.org Foundation,BeagleWire Software
207,Matan,Ceph,GOING NATS
208,Rupal Sharma,"Center for Research in Open Source Software, UC Santa Cruz",Path finding algorithm using OpenCV
209,Aishwary Saxena,Oppia Foundation,Write Frontend Tests
210,Siddhant Sehgal,Joplin,Paste Special Proposal
211,Isaiah Blanks,The Terasology Foundation,Destination: Sol World-Gen Modularization
212,gupt4j1,OWASP Foundation,Improvements In WebUI for Nettacker
213,Mohammad Arshad,CCExtractor Development,Deluge Mobile client
214,Ninad Jangle,Free and Open Source Silicon Foundation,Block Based Circuit Design
215,Ahmed Moorsy,MediaPipe,Arabic Sign Language Recognition
216,Michal Lenc,The Apache Software Foundation,NuttX Support for Rapid Control Applications Development with pysimCoder
217,Bikram Biswas-1,The Apache Software Foundation,Multiple SSH key holding on CloudStack
218,JL_Meirelles,Open Genome Informatics,Single-Cell pathway annotation pipeline
219,Halil İbrahim Ceylan,CNCF,Buildpacks Lifecycle Prepare Phase
220,Vinayak Sankar,apertus° Association,Remote Test System for AXIOM Remote
221,luc65r,FFmpeg,FFmpeg x86-64 assembly FFT
222,Tamara David,International Catrobat Association,Advancement through project merge
223,Paulette Vazquez,Mayor's Office of New Urban Mechanics (City of Boston),Geospatial Tools for Post-Disaster Housing Analysis
224,ApratimRanChak,Digital Impact Alliance (DIAL) at UN Foundation,Alexa Top Sites Captcha and Tor Block Monitoring
225,Rachana Podaralla,Inkscape,On Canvas Marker Editing
226,Nickil Maveli,Red Hen Lab,Detecting Joint Meaning Construal by Language and Gesture
227,Veenit Kumar,OSGeo - Open Source Geospatial Foundation,Implement Edge Coloring Algorithm for pgRouting by the Boost Graph Library.
228,Rishabh Sanjay,NumFOCUS,Adding New Plots to ArviZ
229,Sarthak Saxena,Postman,API Conversion API
230,Prateek Ganguli,Debian,Android SDK tools in Debian
231,Mikhail Nitenko,FFmpeg,H264/HEVC ARM64 10-bit assembly
232,taylorzhancher,ScummVM,Enhance Accessibility of More ScummVM Engines by Text To Speech (TTS)
233,Siddharth Bhatia,The Julia Language,Multi-Agent Reinforcement Learning Environments in GridWorlds.jl
234,Fang,The Apache Software Foundation,APISIX ingress controller integration with Knative Serving
235,Aviral Jain,CloudCV,Monitoring setup for EvalAI
236,Sang Woo Bae,The Apache Software Foundation,Apache CloudStack - Synchronization of network devices on newly added hosts for Persistent Networks
237,Dhananjay Purohit,Orcasound,Improve site architecture and add features to the Orcamap
238,Arash Ahmadian,SymbiFlow,Capturing an abstracted model of Xilinx Artix7 using VTR
239,Siyi Wei,The R Project for Statistical Computing,Fairness extension for mlr3
240,Savish Bedi,CloudCV,Static code upload challenge evaluation and enhancements in GitHub based challenge creation
241,Abhay Raj Singh,libvirt,libnbd/nbdcopy acceleration using io_uring
242,Rahul Chauhan-1,CERN-HSF,Rucio and CS3API to enable data management for the ScienceMesh cloud
243,Omkar Prabhune,Apertium,Apertium Browser Plugin
244,Purhan Kaushik,OpenWISP,Revamp Netengine and add its SNMP capability to OpenWISP Monitoring
245,Rishikesh Vanarse,"Center for Research in Open Source Software, UC Santa Cruz",IMU Calibration & Self-Correction Algorithm for Open Source Autonomous Vehicle Controller
246,Avishrant Sharma,AboutCode,Integration of alternate Code Analysis Tools and Asynchronous Scan Enhancements.
247,Bhaarat Kumar Khatri,Wikimedia Foundation,Update the front-page of Wikimedia projects
248,Atharva Nimbalkar,Open Bioinformatics Foundation,Implementation of NEON functions (SIMDe)
249,Aner Lucero,Haskell.org,Enhanced figure support in pandoc
250,Mohammed Jeeshan Sheikh,NumFOCUS,SciML : Discretizations of partial differential equations
251,Aditya Kasibhatla,RoboComp,Graphical-User Interface for affective human-robot interactions
252,Sayan Nath,TensorFlow,💻 GSoC 2021: TensorFlow Lite Proposal
253,Vishv Kakadiya,Cuneiform Digital Library Initiative (CDLI),Transliterations editor and API
254,Yassmin Hesham,RoboComp,Simultaneous path planning and following using Model Predictive Control (SPAF)
255,lvrcek,Open Genome Informatics,Reactome Pathway Embeddings
256,rgo3,Cilium,A Feature Probe API for cilium/ebpf
257,Rishabh Ranjan Jha,Joomla!,Feature Enhancement - Cookie Management System
258,Aniket Giri,OSGeo - Open Source Geospatial Foundation,Implement 3D scene visualization support using Potree and integrate with MapMint
259,María Belén,Metasploit,Retain active status of authentication tokens
260,Ajay-1,The R Project for Statistical Computing,gghexbin: An R package to enable the creation of high quality hexagonally binned graphs that can exploit all of ggplot2’s functionality
261,Arkajyoti Basak,JdeRobot - Universidad Rey Juan Carlos,Improve and add to the drone exercises
262,Mohammad Warid,Public Lab,spectral-workbench.js JS/Rails integration (Public Lab)
263,Ank,Genome Assembly and Annotation,An orchestration system for MGnify running on distributed heterogeneous compute clusters
264,Isaac Miti,Open Bioinformatics Foundation,Design and implementation of Code is Science front-end using ReactJS
265,William Kimmerer,The Julia Language,Differentiable GraphBLAS
266,Sachin Som,SCoRe Lab,OpenMF-GSOC'21 Proposal-Sachin Som
267,Yatharth Vyas,Joomla!,Joomla Feature Enhancements
268,Stefanos Vlachos,JBoss Community,EAT - EAP Additional Testsuite
269,Thomas Huber,The LLVM Compiler Infrastructure,OpenACC Diagnostics from the OpenMP Runtime
270,Aman Godara,Fortran-lang,GSoC Proposal for Fortran-lang
271,Meghal Bisht,Digital Impact Alliance (DIAL) at UN Foundation,Eventyay Open Event : Refractor UI using React with Next
272,Shubhank Saxena,GFOSS - Open Technology Alliance,"MediaCMS - modern, fully featured video and media CMS"
273,antelk,INCF,Support of the simulation-based inference with the model fitting toolbox
274,Aryan Kenchappagol,OSGeo - Open Source Geospatial Foundation,Implement 3D scene visualization support using Potree and integrate with MapMint
275,federikovi,Open Bioinformatics Foundation,Developing WellcomeML further for the visualisation of academic research data
276,Zhuoran He,CNCF,TLA+ Spec for Async Commit
277,Archisman Dey,BeagleBoard.org Foundation,Improvemens to simpPRU
278,Sankalp (codesankalp),OpenWISP,Bring professional efficiency to OpenWISP WiFi Login Pages
279,Timo Rantakaulio,Apertium,"Finnish, Olonets-Karelian and Karelian lexicon development"
280,Viet Hoang,INCF,LORIS Codebase Maintenance and Automated Testing
281,Sundaram Dubey,Digital Impact Alliance (DIAL) at UN Foundation,Reimplementing Open Event Frontend in React
282,Yu Kimura,Ruby,Develope benchmark tool specialized in real-world rails application
283,Nishtha Bodani,CCExtractor Development,Beacon
284,Purva Thakre,NumFOCUS,Quantum Gate Decomposition for QuTip
285,Heshan Andrews,OpenMRS,Export and Import Feature for the OMRS Reporting Module
286,Krishita Jain,Oppia Foundation,Redesigning and Updating the Learner Dashboard Page.
287,Hritik Vijay,AboutCode,VulnerableCode importers refactoring and addition
288,Sidharth Shambu,LibreCube Initiative,CCSDS Space Packet / USLDP Transport Layer for Python and MicroPython
289,Zixuan Li,Zulip,Improving Zulip Bots and Integrations.
290,Ali Sedaghati,The LLVM Compiler Infrastructure,Learning Loop Transformation Heuristics
291,Hardik Thami,MIT App Inventor,Implement a CheckBox Group in App Inventor
292,Shoaib Ahmed Siddiqui,CERN-HSF,3D Convolutions for GPU
293,Alexander Galarraga,SageMath,Dynamics Algorithmic Improvements
294,Vuong Ho,OpenStreetMap,Opening hours tag evaluator
295,Harshita Mangla,Python Software Foundation,User Story - Improvements and New Features
296,Alan Cueva,MariaDB Foundation,Custom formatting of strings in MariaDB queries
297,Ethan Long,Plan 9 Foundation,nIME
298,Kabir,CGAL Project,Finalizing the 2D Regularized Boolean Set Operations Demo
299,Ajit Mujumdar,Public Lab,Translation System Refinement
300,Praveen Sahu,NumFOCUS,CuPy: Extending CuPy coverage of SciPy functions
301,nrumeshp,The Apache Software Foundation,COMDEV-412 Apache DolphinScheduler Parameter coverage
302,Alejandro Rusi,GitLab,Courseware as Code Enablement
303,Saransh Chopra,NumFOCUS,Automated Twitter bot to run PyBaMM Simulations
304,Toshiki Maekawa,The LLVM Compiler Infrastructure,Utilize LoopNest Pass
305,Evan Lee,Halide,Assessing the Performance Effects of Adding New Synthesized Rewrite Rules to Halide
306,Saswata Mukherjee,CNCF,Smart automation for project documentation and website
307,Stelios Malamas,Samba,Add machine-readable debug & stats /proc file
308,Shubhamjain,LibreOffice,Write missing unit tests
309,Mehdi Mabrouki,TensorFlow,"Suggest, implement and publish state-of-the-art ML models in TensorFlow 2"
310,Kush Kothari,NumFOCUS,[Data Retriever] Adding Spatial Dataset Support - Kush Kothari
311,Hemanth Krishna,CNCF,[Litmus Portal] Authentication Module Refactor and OAuth Implementation
312,Akhil J Nair,STE||AR Group,Adapting algorithms to C++ 20 and Ranges TS
313,Albert Morea,Liquid Galaxy project,Orbit Satellite Visualizer for Liquid Galaxy
314,chazuttu,Python Software Foundation,PyAfipWs: Library for  Developers (PyAr)
315,Leo,Gentoo Foundation,Expanded and Enhanced Big Data Infrastructure on Gentoo
316,Shubham Kumar-1,GitLab,Geo Team Proposal: Improvements to backup and restore process
317,Shreya Agarwal,coala,Result Reporter Tool for Bears
318,sary nasser,LibreOffice,Bringing the context to the translators by a magic gate .
319,Tobias Soppa,Chromium,Implement ClosedTabCache
320,Darshpreet Singh,LibreHealth,Develop an Android Mobile Application For Newborn Clinical Decision Support
321,Naoto Ono,Ruby,Tests for debugger
322,Claudio Cambra,KDE Community,Plasma Mobile - Akonadi Calendar
323,Julius Marozas,Haskell.org,Gradually Typed Hasktorch
324,Nanubala Gnana Sai,mlpack,A Framework for Multiobjective Optimizers
325,HanwGeek,OSGeo - Open Source Geospatial Foundation,Implement sorting methods for PostGIS data types before building GiST index
326,Manikya,The Julia Language,FastAI.jl Development
327,Aditya Jeppu,Blender Foundation,Video Sequence Editor Improvements - Individual strip previews and modification indicators
328,Abhi Kulshrestha,SCoRe Lab,Ask SCORE - Community App
329,Fruityloops,International Catrobat Association,Application for Embroidery Robot Programming using Pocket Code IDE
330,Estefania Barreto-Ojeda,MDAnalysis,MDAnalysis module to calculate membrane curvature
331,Eesha Arif,Oppia Foundation,Improve Frontend Type System
332,Khaled Emara,FreeBSD Project,XFS FUSE FreeBSD Port
333,Pulak Malhotra,Rizin,Heap Viewer
334,Ritik Kumar Srivastava,The Palisadoes Foundation,GSoC’ 21: The Palisadoes Foundation
335,Matthew Filipovich,CERN-HSF,Modern Plotting Machinery for the Large Hadron Collider's Monte Carlo Event Analysis Tool
336,Nghia Duong,KDE Community,Faces engine Improvements
337,Minshuo Chen,The R Project for Statistical Computing,Efficient and Scalable LP-based Multi-Stage Decision Making in R
338,Xiaojie Yi,Haiku,XFS Filesystem Support
339,Matías Ceferino Demarchi,Python Software Foundation,OpenLex: Migration to Python 3 and Py4Web
340,ankit2001,OWASP Foundation,Bug Logging Tool
